image,price,name,
https://image.pxgo.com.tw/pic/2025/03/27/3ca3f45811ae4865addef546ab39d81e.jpg,238,蒜蒜屋原味蒜醬 180g,4711392410136 
https://image.pxgo.com.tw/pic/2025/03/27/0383bb91123f44788e3d1f41191480a5.jpg,79,娘家廚房蔥抓餅 600g(120g*5片),4711411400223 
https://image.pxgo.com.tw/pic/2025/03/21/adc92cf82a964cd4b35d00440c4782f7.jpg,39,蟳味小干貝茶碗蒸 195g,2675045514317 
https://image.pxgo.com.tw/pic/2025/03/27/ecc528c9dbea4e5e9f0a481275f45e4d.jpg,119,田家千層蟹殼黃-蔥燒豬肉 320g(4入裝),4710981074421 
https://image.pxgo.com.tw/pic/2025/02/07/f870e166b20049448e2c300bed03c8f2.jpg,42,農心辛拉麵-泰式酸辣味 123g,8801043070362 
https://image.pxgo.com.tw/pic/2025/03/27/a5bfc68c327441bbbc994a4d4c7e2f30.jpg,119,田家千層蟹殼黃-蝦香蘿蔔絲 320g(4入裝),4710981075558 
https://image.pxgo.com.tw/pic/2025/03/27/48a205823c594796a94cb9020f834eaf.jpg,119,大阪王將冰花圓盤煎餃 240g,4711299150470 
https://image.pxgo.com.tw/pic/2025/03/27/4d5a1c58df314913a65356b2c104fe88.jpg,49,可樂果捲捲酥-醬烤魷魚口味 175g,4710022065388 
https://image.pxgo.com.tw/pic/2025/03/11/f73750a56cf743578b48e88fe6d97fac.jpg,125,KitKat奇巧威化巧克力-濃黑巧克力口味 135.6g,4902201182218 
https://image.pxgo.com.tw/pic/2025/03/27/ada98a32816247dfa0925c8cad147d0c.jpg,57,新東陽台灣黑豬滷肉 180g,4710057224927 
https://image.pxgo.com.tw/pic/2025/03/27/be63be89beb64937aa8d8af0d1fad254.jpg,105,杜桑灶咖杜桑餛飩 230g,4710680909048 
https://image.pxgo.com.tw/pic/2025/3/26/630258f9507f4310ac13f48a33bbe13e.jpg,109,草莓雲朵舒芙蕾 4入/128g,2668387514312 
https://image.pxgo.com.tw/pic/2025/03/04/9fd9678e0bcf48e0818b4f39ff962050.jpg,79,川椒雞柳條 220g,2631088714312 
https://image.pxgo.com.tw/pic/2025/03/27/2e62f023b01d4bec8872bf0759a5a8a9.jpg,49,農心辛炒麵-泰式酸辣味 130g,8801043070409 
https://image.pxgo.com.tw/pic/2025/03/21/0a74ff652452475f91239481a58424af.jpg,250,鵝油先生金蔥鵝油 200g,4711106930844 
https://image.pxgo.com.tw/pic/2025/02/07/3c87b2ce96144a258094227cb9444fdd.jpg,47,桂冠法式沙拉-塑膠瓶裝 淨重200g,4710011403115 
https://image.pxgo.com.tw/pic/2025/03/07/84da0df485f3478aa433a17f1ea2d526.jpg,89,草莓玫瑰長條蛋糕 130g,2668398314314 
https://image.pxgo.com.tw/pic/2025/03/07/a5f947e96d6a4521b0fd978ced62f181.jpg,46,農心辛拉麵-辣白醬風味 137g,8801043018470 
https://image.pxgo.com.tw/pic/2025/03/08/defb9bcd4a0540e2bd1e78dd6ae06ebd.jpg,99,玫瑰草莓慕斯蛋糕 2入/150g,2668408714318 
https://image.pxgo.com.tw/pic/2025/03/27/f3813f523a7c4769bb4e8db7589043b5.jpg,199,高慶泉金沙鹹蛋黃醬 190g,4710014208182 
https://image.pxgo.com.tw/pic/2025/03/27/918154a8e9fd4c709e7b1d827f7b5000.jpg,49,農心辛炒麵-起司風味 136g,8801043068741 
https://image.pxgo.com.tw/pic/2025/02/07/7a1191031ccb493184e49de698bd8cab.jpg,85,得意的一天滴雞精高湯粥-番茄牛肉 320g,4710043052077 
https://image.pxgo.com.tw/pic/2025/03/07/310ec8acaab74d3ab1e0f98b17f49c80.jpg,30,「可口可樂」香草口味可樂 600ml,4710018339202 
https://image.pxgo.com.tw/pic/2025/03/07/b389c254a21b411fad9b8b0b580a27ac.jpg,30,味味A黑蒜豚骨湯麵 99g,4710110239066 
https://image.pxgo.com.tw/pic/2025/03/11/00b67e03f8714a8dabd3da258d5e405e.jpg,79,玫瑰雙餡銅鑼燒 4入/200g,2668416614310 
https://image.pxgo.com.tw/pic/2025/03/22/5bfbbc1f2d8d46269dac57902d05e482.jpg,139,牛頭牌香辣醬 175g,4711258640011 
https://image.pxgo.com.tw/pic/2025/02/07/29cada0b6e7e49eab9429bc60dc95992.jpg,85,得意的一天滴雞精高湯粥-玉米雞肉 320g,4710043052039 
https://image.pxgo.com.tw/pic/2025/03/27/b6f996740102491b8d3e240b94d99a1e.jpg,60,維他露繽果大蘋果蘇打 250ml*6入,4710421073854 
https://image.pxgo.com.tw/pic/2025/3/24/223904414e3444c9ba25628b3ffde4c9.jpg,50,滿漢大餐碗麵-蔥燒牛肉麵(減鈉) 192g,4710088832375 
https://image.pxgo.com.tw/pic/2025/02/07/48cb97130edb4f538be24c43a9385b1f.jpg,85,得意的一天滴雞精高湯粥-什錦豬肉 320g,4710043052046 
https://image.pxgo.com.tw/pic/2025/03/27/c1df3e4654e149eda9097d3a4a8cf249.jpg,130,十味觀香蔥蒜醬 120g,4718000432320 
https://image.pxgo.com.tw/pic/2025/03/21/edccf65cba7e469980d9a29217b31b47.jpg,35,UCC艾洛瑪氣泡黑咖啡(無糖) 290ml,4710090023808 
https://image.pxgo.com.tw/pic/2025/03/11/9a11b23d53dc417783b195d8e03fb484.jpg,32,玫瑰奶霜鬆餅 110g,2676109114313 
https://image.pxgo.com.tw/pic/2025/02/07/704fbae635244721ac4caa32f6c402b9.jpg,189,得意的一天即饗私房菜-極品醬燒滷豬腳 600g,4710043052565 
https://image.pxgo.com.tw/pic/2025/03/07/4278397858dd49d6b8eec493a030a333.jpg,41,小磨坊青花椒香辣粉 30g,4710059013055 
https://image.pxgo.com.tw/pic/2025/03/07/b62da7a21b6d48f28df1f37c9432ed9f.jpg,41,小磨坊蒜香九層塔 30g,4710059013062 
https://image.pxgo.com.tw/pic/2025/03/27/ccda92d2fc0348c0a37bc485f53c0c7e.jpg,125,老四川極緻激辛辣椒醬 170g,4710150150376 
https://image.pxgo.com.tw/pic/2025/02/07/034a5a92f6094ea08a1b82aec2f3c3ab.jpg,85,得意的一天高湯粥-鮮筍香菇(全素) 320g,4710043050929 
https://image.pxgo.com.tw/pic/2025/02/07/f64e4cb3533f46649f1e1dff014b405a.jpg,60,耆盛紅心波霸粉圓 600g,4711542434661 
https://image.pxgo.com.tw/pic/2025/03/25/77c518a4d3ff450caa9b8d354e20e2ff.jpg,69,龍蝦風味卷 120g,2622627114311 
https://image.pxgo.com.tw/pic/2025/03/07/7b429945cedb44d88b2aa2d27bb86fc3.jpg,37,GEORGIA喬亞焦糖風味雲朵拿鐵 350ml,4710018300400 
https://image.pxgo.com.tw/pic/2025/03/21/5284152401e04039993c89f3311fab1b.jpg,35,UCC艾洛瑪氣泡柚子風味咖啡 290ml,4710090023815 
https://image.pxgo.com.tw/pic/2025/03/07/ed84f28ea6874219bdeed8bed998c60e.jpg,37,GEORGIA喬亞榛果白巧克力風味雲朵拿鐵 350ml,4710018300608 
https://image.pxgo.com.tw/pic/2025/03/07/ba4acb5a0e02477d9ab237f58677432d.jpg,41,小磨坊蒜香椒鹽 35g,4710059012980 
https://image.pxgo.com.tw/pic/2025/03/07/e9cfb4bbbc0c43f39400f6e3f5532da9.jpg,41,小磨坊檸檬椒鹽 42g,4710059013079 
https://image.pxgo.com.tw/pic/2025/03/27/f9fe13a35260436eae7db69b25e3c01b.jpg,125,這一鍋招牌御選沙茶醬 250g,4711441870164 
https://image.pxgo.com.tw/pic/2025/03/07/3d4a52e177a848eca0431d0dfc54f230.jpg,79,快享廚房麻油雞油飯 200g,4710601502570 
https://image.pxgo.com.tw/pic/2025/03/07/ecf2b7fa589240048ef06e078c0bd0dc.jpg,29,Picnic泰北雞湯風味杯麵 60g,8857056004184 
https://image.pxgo.com.tw/pic/2025/03/07/3f267936edd54e0e87eff7e4561ee5cf.jpg,153,義美細滑花生醬 290g,4710126201279 
https://image.pxgo.com.tw/pic/2025/02/07/a2c942527c8a46009baaafb3fd81f3b6.jpg,85,得意的一天滴雞精高湯粥-韓式泡菜牛肉 320g,4710043052053 
https://image.pxgo.com.tw/pic/2025/03/07/5e731ff3e1aa4715bf22973a6e983b70.jpg,153,義美顆粒花生醬-鹹香風味 290g,4710126201286 
https://image.pxgo.com.tw/pic/2025/03/07/3e30b71effff4919b4db788241b3d7be.jpg,79,快享廚房泰式紅咖哩 200g,4710601502648 
