image,price,name,barcode,description
https://image.pxgo.com.tw/pic/2023/10/02/0991fc47-5cd9-4e36-977d-a3f36642946e.jpg,52,牛頭牌沙茶醬 127g 4.5oz,4711258001256 ,
https://image.pxgo.com.tw/pic/2025/02/26/0fde5718388f4f7e9d534cc0b9732adf.jpg,33,萬家香珍釀白醋(穀物釀造醋) 600ml,74261175203 ,
https://image.pxgo.com.tw/pic/2025/02/27/afa661924717482781f95357f5555442.jpg,104,牛頭牌沙茶醬 250g,4711258002505 ,
https://image.pxgo.com.tw/pic/2025/02/26/1c73a3d1cccc44a1b2176d0871d8523f.jpg,98,健康廚房香菇昆布醬油 ３００ｍｌ,4710063045509 ,
https://image.pxgo.com.tw/pic/2025/02/27/4689703460db45e5915ddf297f0c5d04.jpg,221,牛頭牌沙茶醬 737g,4711258007371 ,
https://image.pxgo.com.tw/pxmart-pic/4710200002341/4710200002341.jpg,53,福壽香油 200g,4710200002341 ,
https://image.pxgo.com.tw/pic/2025/02/27/da3f4583944a431fa140696b88bdef25.jpg,89,陶板屋香濃原粒胡麻醬 200ml,4710582662997 ,
https://image.pxgo.com.tw/pic/2024/11/13/af92a4c790ce468a828e18a13e0a0091.jpg,319,黑豆桑天然極品養生紅金醬油 500ml,4716786071368 ,
https://image.pxgo.com.tw/pic/2025/02/27/f81e7a955da14130ba764766b3bb1677.jpg,67,龜甲萬薄鹽醬油(釀造) 500ml,4710685444384 ,
https://image.pxgo.com.tw/pic/2025/02/27/5ad19237400a4e9f989a07c31e77535f.jpg,95,萬家香純佳釀薄鹽淡口醬油 450ml,4711001145015 ,
https://image.pxgo.com.tw/pxmart-pic/4718426000950/4718426000950.jpg,78,寧記頂級辣椒大王 260g,4718426000950 ,
https://image.pxgo.com.tw/pic/2025/02/26/de15907f9d224ad499941dbf2d0112c3.jpg,82,金蘭特級醬油 1000ml,4710012129069 ,
https://image.pxgo.com.tw/pic/2024/06/13/af76bca2-f37c-4492-a657-c08df071250c.jpg,128,義美100%純芝麻香油 250ml,4710126396760 ,
https://image.pxgo.com.tw/pic/2025/02/27/ca2115ae4a024ee490d473b739f3758a.jpg,43,福華牌沙茶醬 145g,4719870752334 ,
https://image.pxgo.com.tw/pic/2024/05/10/e1456954-697c-4aae-bf5c-915a0fbb0841.jpg,32,愛之味素食沙茶醬 120g玻璃瓶裝,4710626213314 ,
https://image.pxgo.com.tw/pic/2023/11/17/c05779ba-8b02-4937-b088-bae50a609eab.jpg,61,四季釀造醬油 870ml,4710088460363 ,
https://image.pxgo.com.tw/pxmart-pic/4710088460097/4710088460097.jpg,97,四季高純釀(釀造醬油) 870ml,4710088460097 ,
https://image.pxgo.com.tw/pic/2025/02/27/b47c197ee22043208416e1a0f376d1df.jpg,98,老干媽風味雞油辣椒 210g,6921804700214 ,
